meAsur3;gender_coded;EducationType;degreeType;Period;VALUE
Gediplomeerden;3000;Hoger beroepsonderwijs;Wo-master;2021/'22;NA
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2011/'12;15760
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2012/'13;14380
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2013/'14;14580
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2014/'15;15600
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2015/'16;15210
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2016/'17;15640
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2017/'18;15910
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2018/'19;16300
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2019/'20;17020
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2020/'21;18960
Gediplomeerden;3000;Wetenschappelijk onderwijs;Bachelor;2021/'22;18020
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2011/'12;15980
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2012/'13;14430
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2013/'14;15190
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2014/'15;15970
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2015/'16;16570
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2016/'17;17270
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2017/'18;17510
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2018/'19;18700
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2019/'20;18890
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2020/'21;21140
Gediplomeerden;3000;Wetenschappelijk onderwijs;Wo-master;2021/'22;20730
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2011/'12;31330
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2012/'13;29700
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2013/'14;30740
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2014/'15;32200
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2015/'16;33010
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2016/'17;35490
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2017/'18;36570
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2018/'19;34830
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2019/'20;34580
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2020/'21;36310
Gediplomeerden;4000;Hoger beroepsonderwijs;Bachelor;2021/'22;34330
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2011/'12;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2012/'13;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2013/'14;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2014/'15;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2015/'16;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2016/'17;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2017/'18;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2018/'19;NA
Gediplomeerden;4000;Hoger beroepsonderwijs;Wo-master;2019/'20;NA
