date [mm-dd],city_lower,city_mean,city_upper
05-08,Eindhoven_10.56,Eindhoven_13.76,Eindhoven_16.96
05-08,Rotterdam_10.42,Rotterdam_12.68,Rotterdam_14.94
05-08,Vlieland_8.59,Vlieland_11.06,Vlieland_13.53
05-09,Eindhoven_11.95,Eindhoven_15.94,Eindhoven_19.93
05-09,Rotterdam_12.13,Rotterdam_15.24,Rotterdam_18.35
05-09,Vlieland_11.52,Vlieland_13.18,Vlieland_14.84
05-10,Eindhoven_10.93,Eindhoven_14.90,Eindhoven_18.87
05-10,Rotterdam_10.85,Rotterdam_13.84,Rotterdam_16.83
05-10,Vlieland_8.43,Vlieland_11.34,Vlieland_14.25
05-11,Eindhoven_8.58,Eindhoven_13.22,Eindhoven_17.86
05-11,Rotterdam_8.31,Rotterdam_11.96,Rotterdam_15.61
05-11,Vlieland_8.02,Vlieland_10.68,Vlieland_13.34
05-12,Eindhoven_7.34,Eindhoven_11.66,Eindhoven_15.98
05-12,Rotterdam_7.79,Rotterdam_11.68,Rotterdam_15.57
05-12,Vlieland_8.62,Vlieland_10.82,Vlieland_13.02
05-13,Eindhoven_8.50,Eindhoven_12.56,Eindhoven_16.62
05-13,Rotterdam_8.15,Rotterdam_12.02,Rotterdam_15.89
05-13,Vlieland_7.48,Vlieland_10.36,Vlieland_13.24
05-14,Eindhoven_9.02,Eindhoven_12.62,Eindhoven_16.22
05-14,Rotterdam_8.39,Rotterdam_11.66,Rotterdam_14.93
05-14,Vlieland_7.55,Vlieland_9.92,Vlieland_12.29
05-15,Eindhoven_7.46,Eindhoven_12.86,Eindhoven_18.26
05-15,Rotterdam_7.91,Rotterdam_12.48,Rotterdam_17.05
05-15,Vlieland_8.46,Vlieland_11.00,Vlieland_13.54
05-16,Eindhoven_8.36,Eindhoven_12.72,Eindhoven_17.08
05-16,Rotterdam_8.76,Rotterdam_12.62,Rotterdam_16.48
05-16,Vlieland_9.24,Vlieland_11.86,Vlieland_14.48
05-17,Eindhoven_8.65,Eindhoven_12.98,Eindhoven_17.31
05-17,Rotterdam_9.28,Rotterdam_13.44,Rotterdam_17.60
05-17,Vlieland_8.89,Vlieland_12.36,Vlieland_15.83
05-18,Eindhoven_9.53,Eindhoven_15.04,Eindhoven_20.55
05-18,Rotterdam_10.13,Rotterdam_13.92,Rotterdam_17.71
05-18,Vlieland_9.64,Vlieland_12.36,Vlieland_15.08
05-19,Eindhoven_11.12,Eindhoven_15.08,Eindhoven_19.04
05-19,Rotterdam_11.22,Rotterdam_14.14,Rotterdam_17.06
05-19,Vlieland_10.59,Vlieland_12.64,Vlieland_14.69
05-20,Eindhoven_12.03,Eindhoven_14.52,Eindhoven_17.01
05-20,Rotterdam_11.68,Rotterdam_14.26,Rotterdam_16.84
05-20,Vlieland_11.35,Vlieland_12.96,Vlieland_14.57
05-21,Eindhoven_11.49,Eindhoven_15.54,Eindhoven_19.59
05-21,Rotterdam_10.58,Rotterdam_14.82,Rotterdam_19.06
05-21,Vlieland_9.93,Vlieland_13.46,Vlieland_16.99
05-22,Eindhoven_11.35,Eindhoven_15.68,Eindhoven_20.01
05-22,Rotterdam_11.01,Rotterdam_15.04,Rotterdam_19.07
05-22,Vlieland_10.53,Vlieland_13.56,Vlieland_16.59
05-23,Eindhoven_12.36,Eindhoven_14.82,Eindhoven_17.28
05-23,Rotterdam_11.65,Rotterdam_14.14,Rotterdam_16.63
05-23,Vlieland_10.97,Vlieland_12.90,Vlieland_14.83
05-24,Eindhoven_10.57,Eindhoven_13.06,Eindhoven_15.55
05-24,Rotterdam_11.32,Rotterdam_12.94,Rotterdam_14.56
05-24,Vlieland_11.40,Vlieland_12.46,Vlieland_13.52
05-25,Eindhoven_10.56,Eindhoven_13.44,Eindhoven_16.32
05-25,Rotterdam_10.89,Rotterdam_13.20,Rotterdam_15.51
05-25,Vlieland_10.31,Vlieland_12.04,Vlieland_13.77
05-26,Eindhoven_11.90,Eindhoven_14.92,Eindhoven_17.94
05-26,Rotterdam_11.56,Rotterdam_14.44,Rotterdam_17.32
05-26,Vlieland_10.79,Vlieland_12.88,Vlieland_14.97
05-27,Eindhoven_11.38,Eindhoven_14.32,Eindhoven_17.26
05-27,Rotterdam_11.39,Rotterdam_13.66,Rotterdam_15.93
05-27,Vlieland_10.76,Vlieland_12.00,Vlieland_13.24
05-28,Eindhoven_10.94,Eindhoven_14.00,Eindhoven_17.06
05-28,Rotterdam_11.15,Rotterdam_13.46,Rotterdam_15.77
05-28,Vlieland_10.50,Vlieland_11.66,Vlieland_12.82
05-29,Eindhoven_10.90,Eindhoven_13.88,Eindhoven_16.86
05-29,Rotterdam_11.27,Rotterdam_13.22,Rotterdam_15.17
05-29,Vlieland_10.44,Vlieland_11.74,Vlieland_13.04
05-30,Eindhoven_11.84,Eindhoven_15.42,Eindhoven_19.00
05-30,Rotterdam_11.33,Rotterdam_14.64,Rotterdam_17.95
05-30,Vlieland_10.31,Vlieland_12.94,Vlieland_15.57
05-31,Eindhoven_13.62,Eindhoven_16.76,Eindhoven_19.90
05-31,Rotterdam_13.65,Rotterdam_16.02,Rotterdam_18.39
05-31,Vlieland_11.88,Vlieland_13.94,Vlieland_16.00
06-01,Eindhoven_12.43,Eindhoven_17.22,Eindhoven_22.01
06-01,Rotterdam_12.23,Rotterdam_16.42,Rotterdam_20.61
06-01,Vlieland_11.43,Vlieland_14.60,Vlieland_17.77
06-02,Eindhoven_13.26,Eindhoven_18.88,Eindhoven_24.50
06-02,Rotterdam_12.84,Rotterdam_17.98,Rotterdam_23.12
06-02,Vlieland_12.02,Vlieland_16.06,Vlieland_20.10
06-03,Eindhoven_16.51,Eindhoven_18.38,Eindhoven_20.25
06-03,Rotterdam_15.28,Rotterdam_17.32,Rotterdam_19.36
06-03,Vlieland_14.08,Vlieland_14.92,Vlieland_15.76
06-04,Eindhoven_14.00,Eindhoven_17.80,Eindhoven_21.60
06-04,Rotterdam_13.26,Rotterdam_16.60,Rotterdam_19.94
06-04,Vlieland_11.46,Vlieland_13.52,Vlieland_15.58
06-05,Eindhoven_11.59,Eindhoven_15.46,Eindhoven_19.33
06-05,Rotterdam_11.42,Rotterdam_14.02,Rotterdam_16.62
06-05,Vlieland_10.72,Vlieland_13.04,Vlieland_15.36
06-06,Eindhoven_12.86,Eindhoven_15.46,Eindhoven_18.06
06-06,Rotterdam_12.29,Rotterdam_14.28,Rotterdam_16.27
06-06,Vlieland_11.22,Vlieland_12.82,Vlieland_14.42
06-07,Eindhoven_14.15,Eindhoven_16.24,Eindhoven_18.33
06-07,Rotterdam_13.11,Rotterdam_15.38,Rotterdam_17.65
06-07,Vlieland_11.95,Vlieland_13.62,Vlieland_15.29
06-08,Eindhoven_12.97,Eindhoven_16.72,Eindhoven_20.47
06-08,Rotterdam_13.38,Rotterdam_16.12,Rotterdam_18.86
06-08,Vlieland_12.19,Vlieland_14.10,Vlieland_16.01
06-09,Eindhoven_12.60,Eindhoven_17.60,Eindhoven_22.60
06-09,Rotterdam_12.78,Rotterdam_16.88,Rotterdam_20.98
06-09,Vlieland_11.96,Vlieland_14.72,Vlieland_17.48
06-10,Eindhoven_13.62,Eindhoven_19.04,Eindhoven_24.46
06-10,Rotterdam_13.63,Rotterdam_18.08,Rotterdam_22.53
06-10,Vlieland_13.61,Vlieland_15.84,Vlieland_18.07
06-11,Eindhoven_14.30,Eindhoven_19.36,Eindhoven_24.42
06-11,Rotterdam_13.01,Rotterdam_18.08,Rotterdam_23.15
06-11,Vlieland_12.18,Vlieland_16.34,Vlieland_20.50
06-12,Eindhoven_13.18,Eindhoven_18.44,Eindhoven_23.70
06-12,Rotterdam_12.39,Rotterdam_17.76,Rotterdam_23.13
06-12,Vlieland_13.04,Vlieland_16.30,Vlieland_19.56
06-13,Eindhoven_13.40,Eindhoven_18.16,Eindhoven_22.92
06-13,Rotterdam_13.34,Rotterdam_17.62,Rotterdam_21.90
06-13,Vlieland_13.52,Vlieland_16.06,Vlieland_18.60
06-14,Eindhoven_15.66,Eindhoven_18.82,Eindhoven_21.98
06-14,Rotterdam_15.29,Rotterdam_18.08,Rotterdam_20.87
06-14,Vlieland_14.12,Vlieland_16.38,Vlieland_18.64
06-15,Eindhoven_17.14,Eindhoven_19.44,Eindhoven_21.74
06-15,Rotterdam_15.86,Rotterdam_18.32,Rotterdam_20.78
06-15,Vlieland_14.45,Vlieland_16.00,Vlieland_17.55
06-16,Eindhoven_16.97,Eindhoven_19.94,Eindhoven_22.91
06-16,Rotterdam_16.80,Rotterdam_19.20,Rotterdam_21.60
06-16,Vlieland_14.75,Vlieland_16.94,Vlieland_19.13
06-17,Eindhoven_18.61,Eindhoven_21.90,Eindhoven_25.19
06-17,Rotterdam_18.57,Rotterdam_21.08,Rotterdam_23.59
06-17,Vlieland_15.04,Vlieland_18.32,Vlieland_21.60
06-18,Eindhoven_19.14,Eindhoven_22.52,Eindhoven_25.90
06-18,Rotterdam_18.03,Rotterdam_20.42,Rotterdam_22.81
06-18,Vlieland_15.06,Vlieland_17.58,Vlieland_20.10
06-19,Eindhoven_15.93,Eindhoven_19.40,Eindhoven_22.87
06-19,Rotterdam_14.79,Rotterdam_17.52,Rotterdam_20.25
06-19,Vlieland_14.15,Vlieland_16.18,Vlieland_18.21
06-20,Eindhoven_15.14,Eindhoven_18.84,Eindhoven_22.54
06-20,Rotterdam_14.42,Rotterdam_17.80,Rotterdam_21.18
06-20,Vlieland_13.12,Vlieland_16.36,Vlieland_19.60
06-21,Eindhoven_13.96,Eindhoven_17.54,Eindhoven_21.12
06-21,Rotterdam_13.85,Rotterdam_16.88,Rotterdam_19.91
06-21,Vlieland_13.07,Vlieland_15.58,Vlieland_18.09
06-22,Eindhoven_15.25,Eindhoven_17.72,Eindhoven_20.19
06-22,Rotterdam_15.29,Rotterdam_17.40,Rotterdam_19.51
06-22,Vlieland_13.91,Vlieland_15.80,Vlieland_17.69
06-23,Eindhoven_16.25,Eindhoven_20.88,Eindhoven_25.51
06-23,Rotterdam_15.99,Rotterdam_19.98,Rotterdam_23.97
06-23,Vlieland_14.05,Vlieland_17.72,Vlieland_21.39
06-24,Eindhoven_16.11,Eindhoven_21.52,Eindhoven_26.93
06-24,Rotterdam_16.08,Rotterdam_20.94,Rotterdam_25.80
06-24,Vlieland_14.17,Vlieland_19.14,Vlieland_24.11
06-25,Eindhoven_15.83,Eindhoven_22.32,Eindhoven_28.81
06-25,Rotterdam_16.25,Rotterdam_21.84,Rotterdam_27.43
06-25,Vlieland_16.06,Vlieland_20.22,Vlieland_24.38
06-26,Eindhoven_17.55,Eindhoven_20.52,Eindhoven_23.49
06-26,Rotterdam_16.44,Rotterdam_19.68,Rotterdam_22.92
06-26,Vlieland_14.34,Vlieland_18.14,Vlieland_21.94
06-27,Eindhoven_16.66,Eindhoven_18.98,Eindhoven_21.30
06-27,Rotterdam_16.58,Rotterdam_18.46,Rotterdam_20.34
06-27,Vlieland_15.11,Vlieland_16.88,Vlieland_18.65
06-28,Eindhoven_18.02,Eindhoven_18.94,Eindhoven_19.86
06-28,Rotterdam_17.66,Rotterdam_18.78,Rotterdam_19.90
06-28,Vlieland_15.35,Vlieland_16.88,Vlieland_18.41
06-29,Eindhoven_16.77,Eindhoven_20.68,Eindhoven_24.59
06-29,Rotterdam_14.89,Rotterdam_19.36,Rotterdam_23.83
06-29,Vlieland_14.11,Vlieland_17.50,Vlieland_20.89
06-30,Eindhoven_14.02,Eindhoven_17.78,Eindhoven_21.54
06-30,Rotterdam_14.10,Rotterdam_17.06,Rotterdam_20.02
06-30,Vlieland_14.18,Vlieland_16.68,Vlieland_19.18
07-01,Eindhoven_14.29,Eindhoven_16.64,Eindhoven_18.99
07-01,Rotterdam_15.16,Rotterdam_16.88,Rotterdam_18.60
07-01,Vlieland_15.84,Vlieland_16.70,Vlieland_17.56
07-02,Eindhoven_16.39,Eindhoven_17.32,Eindhoven_18.25
07-02,Rotterdam_16.53,Rotterdam_17.46,Rotterdam_18.39
07-02,Vlieland_15.20,Vlieland_16.48,Vlieland_17.76
07-03,Eindhoven_16.14,Eindhoven_17.52,Eindhoven_18.90
07-03,Rotterdam_15.27,Rotterdam_17.08,Rotterdam_18.89
07-03,Vlieland_15.04,Vlieland_16.42,Vlieland_17.80
07-04,Eindhoven_17.19,Eindhoven_17.58,Eindhoven_17.97
07-04,Rotterdam_16.28,Rotterdam_17.10,Rotterdam_17.92
07-04,Vlieland_16.20,Vlieland_16.76,Vlieland_17.32
07-05,Eindhoven_15.62,Eindhoven_17.52,Eindhoven_19.42
07-05,Rotterdam_15.64,Rotterdam_16.94,Rotterdam_18.24
07-05,Vlieland_15.32,Vlieland_16.56,Vlieland_17.80
07-06,Eindhoven_15.07,Eindhoven_16.74,Eindhoven_18.41
07-06,Rotterdam_15.03,Rotterdam_16.66,Rotterdam_18.29
07-06,Vlieland_15.24,Vlieland_16.48,Vlieland_17.72
07-07,Eindhoven_13.83,Eindhoven_17.70,Eindhoven_21.57
07-07,Rotterdam_13.15,Rotterdam_17.06,Rotterdam_20.97
07-07,Vlieland_13.66,Vlieland_16.34,Vlieland_19.02
07-08,Eindhoven_12.38,Eindhoven_18.30,Eindhoven_24.22
07-08,Rotterdam_13.01,Rotterdam_17.94,Rotterdam_22.87
07-08,Vlieland_13.07,Vlieland_16.92,Vlieland_20.77
07-09,Eindhoven_14.36,Eindhoven_18.54,Eindhoven_22.72
07-09,Rotterdam_14.55,Rotterdam_17.48,Rotterdam_20.41
07-09,Vlieland_13.00,Vlieland_16.26,Vlieland_19.52
07-10,Eindhoven_14.68,Eindhoven_17.70,Eindhoven_20.72
07-10,Rotterdam_14.64,Rotterdam_17.12,Rotterdam_19.60
07-10,Vlieland_14.14,Vlieland_16.46,Vlieland_18.78
07-11,Eindhoven_14.30,Eindhoven_18.62,Eindhoven_22.94
07-11,Rotterdam_15.45,Rotterdam_18.58,Rotterdam_21.71
07-11,Vlieland_15.31,Vlieland_17.46,Vlieland_19.61
07-12,Eindhoven_15.50,Eindhoven_18.34,Eindhoven_21.18
07-12,Rotterdam_15.25,Rotterdam_18.58,Rotterdam_21.91
07-12,Vlieland_15.82,Vlieland_17.96,Vlieland_20.10
07-13,Eindhoven_15.70,Eindhoven_18.66,Eindhoven_21.62
07-13,Rotterdam_16.49,Rotterdam_18.38,Rotterdam_20.27
07-13,Vlieland_16.27,Vlieland_17.52,Vlieland_18.77
07-14,Eindhoven_14.74,Eindhoven_17.62,Eindhoven_20.50
07-14,Rotterdam_15.07,Rotterdam_17.20,Rotterdam_19.33
07-14,Vlieland_14.86,Vlieland_16.78,Vlieland_18.70
07-15,Eindhoven_14.32,Eindhoven_17.18,Eindhoven_20.04
07-15,Rotterdam_14.76,Rotterdam_17.40,Rotterdam_20.04
07-15,Vlieland_14.60,Vlieland_17.10,Vlieland_19.60
07-16,Eindhoven_15.34,Eindhoven_17.08,Eindhoven_18.82
07-16,Rotterdam_15.92,Rotterdam_17.22,Rotterdam_18.52
07-16,Vlieland_14.80,Vlieland_16.60,Vlieland_18.40
07-17,Eindhoven_16.78,Eindhoven_18.38,Eindhoven_19.98
07-17,Rotterdam_17.68,Rotterdam_18.58,Rotterdam_19.48
07-17,Vlieland_17.14,Vlieland_17.80,Vlieland_18.46
07-18,Eindhoven_18.07,Eindhoven_20.66,Eindhoven_23.25
07-18,Rotterdam_17.24,Rotterdam_20.22,Rotterdam_23.20
07-18,Vlieland_16.98,Vlieland_19.12,Vlieland_21.26
07-19,Eindhoven_15.50,Eindhoven_21.20,Eindhoven_26.90
07-19,Rotterdam_14.17,Rotterdam_20.38,Rotterdam_26.59
07-19,Vlieland_13.96,Vlieland_18.80,Vlieland_23.64
07-20,Eindhoven_15.80,Eindhoven_19.40,Eindhoven_23.00
07-20,Rotterdam_15.13,Rotterdam_18.56,Rotterdam_21.99
07-20,Vlieland_15.05,Vlieland_18.08,Vlieland_21.11
07-21,Eindhoven_15.05,Eindhoven_17.36,Eindhoven_19.67
07-21,Rotterdam_15.13,Rotterdam_17.54,Rotterdam_19.95
07-21,Vlieland_16.03,Vlieland_17.12,Vlieland_18.21
07-22,Eindhoven_15.31,Eindhoven_18.38,Eindhoven_21.45
07-22,Rotterdam_15.13,Rotterdam_17.62,Rotterdam_20.11
07-22,Vlieland_14.90,Vlieland_16.72,Vlieland_18.54
07-23,Eindhoven_15.70,Eindhoven_20.16,Eindhoven_24.62
07-23,Rotterdam_16.10,Rotterdam_19.58,Rotterdam_23.06
07-23,Vlieland_16.32,Vlieland_18.56,Vlieland_20.80
07-24,Eindhoven_14.64,Eindhoven_21.12,Eindhoven_27.60
07-24,Rotterdam_15.59,Rotterdam_20.52,Rotterdam_25.45
07-24,Vlieland_16.21,Vlieland_19.66,Vlieland_23.11
07-25,Eindhoven_14.39,Eindhoven_21.58,Eindhoven_28.77
07-25,Rotterdam_14.33,Rotterdam_20.76,Rotterdam_27.19
07-25,Vlieland_15.39,Vlieland_19.40,Vlieland_23.41
07-26,Eindhoven_14.41,Eindhoven_20.08,Eindhoven_25.75
07-26,Rotterdam_14.57,Rotterdam_19.28,Rotterdam_23.99
07-26,Vlieland_14.34,Vlieland_19.46,Vlieland_24.58
07-27,Eindhoven_16.21,Eindhoven_18.06,Eindhoven_19.91
07-27,Rotterdam_16.18,Rotterdam_17.90,Rotterdam_19.62
07-27,Vlieland_14.73,Vlieland_18.50,Vlieland_22.27
07-28,Eindhoven_17.48,Eindhoven_18.50,Eindhoven_19.52
07-28,Rotterdam_17.14,Rotterdam_18.14,Rotterdam_19.14
07-28,Vlieland_15.48,Vlieland_17.98,Vlieland_20.48
07-29,Eindhoven_17.03,Eindhoven_18.56,Eindhoven_20.09
07-29,Rotterdam_16.65,Rotterdam_18.20,Rotterdam_19.75
07-29,Vlieland_15.42,Vlieland_17.50,Vlieland_19.58
07-30,Eindhoven_17.22,Eindhoven_19.56,Eindhoven_21.90
07-30,Rotterdam_17.09,Rotterdam_19.30,Rotterdam_21.51
07-30,Vlieland_16.36,Vlieland_18.42,Vlieland_20.48
07-31,Eindhoven_14.91,Eindhoven_19.96,Eindhoven_25.01
07-31,Rotterdam_15.31,Rotterdam_19.52,Rotterdam_23.73
07-31,Vlieland_16.55,Vlieland_18.64,Vlieland_20.73
08-01,Eindhoven_15.71,Eindhoven_18.64,Eindhoven_21.57
08-01,Rotterdam_16.75,Rotterdam_18.58,Rotterdam_20.41
08-01,Vlieland_15.94,Vlieland_17.70,Vlieland_19.46
08-02,Eindhoven_14.92,Eindhoven_18.06,Eindhoven_21.20
08-02,Rotterdam_15.49,Rotterdam_18.20,Rotterdam_20.91
08-02,Vlieland_15.88,Vlieland_17.74,Vlieland_19.60
08-03,Eindhoven_13.26,Eindhoven_18.04,Eindhoven_22.82
08-03,Rotterdam_14.03,Rotterdam_17.74,Rotterdam_21.45
08-03,Vlieland_15.10,Vlieland_17.42,Vlieland_19.74
08-04,Eindhoven_15.04,Eindhoven_18.78,Eindhoven_22.52
08-04,Rotterdam_15.63,Rotterdam_18.40,Rotterdam_21.17
08-04,Vlieland_16.47,Vlieland_17.84,Vlieland_19.21
08-05,Eindhoven_16.05,Eindhoven_19.18,Eindhoven_22.31
08-05,Rotterdam_15.72,Rotterdam_18.54,Rotterdam_21.36
08-05,Vlieland_15.72,Vlieland_18.08,Vlieland_20.44
08-06,Eindhoven_14.04,Eindhoven_18.50,Eindhoven_22.96
08-06,Rotterdam_14.93,Rotterdam_18.36,Rotterdam_21.79
08-06,Vlieland_15.59,Vlieland_17.94,Vlieland_20.29
08-07,Eindhoven_14.17,Eindhoven_19.02,Eindhoven_23.87
08-07,Rotterdam_14.37,Rotterdam_18.98,Rotterdam_23.59
08-07,Vlieland_14.84,Vlieland_18.62,Vlieland_22.40
08-08,Eindhoven_14.05,Eindhoven_19.64,Eindhoven_25.23
08-08,Rotterdam_14.07,Rotterdam_19.28,Rotterdam_24.49
08-08,Vlieland_15.70,Vlieland_18.58,Vlieland_21.46
08-09,Eindhoven_14.56,Eindhoven_20.56,Eindhoven_26.56
08-09,Rotterdam_15.18,Rotterdam_19.98,Rotterdam_24.78
08-09,Vlieland_15.79,Vlieland_18.14,Vlieland_20.49
08-10,Eindhoven_16.15,Eindhoven_21.40,Eindhoven_26.65
08-10,Rotterdam_16.91,Rotterdam_20.86,Rotterdam_24.81
08-10,Vlieland_16.53,Vlieland_19.50,Vlieland_22.47
08-11,Eindhoven_17.01,Eindhoven_21.80,Eindhoven_26.59
08-11,Rotterdam_17.03,Rotterdam_21.34,Rotterdam_25.65
08-11,Vlieland_17.25,Vlieland_20.48,Vlieland_23.71
08-12,Eindhoven_16.09,Eindhoven_21.68,Eindhoven_27.27
08-12,Rotterdam_15.77,Rotterdam_21.08,Rotterdam_26.39
08-12,Vlieland_16.36,Vlieland_20.30,Vlieland_24.24
08-13,Eindhoven_14.33,Eindhoven_20.00,Eindhoven_25.67
08-13,Rotterdam_14.84,Rotterdam_20.12,Rotterdam_25.40
08-13,Vlieland_15.24,Vlieland_20.02,Vlieland_24.80
08-14,Eindhoven_15.98,Eindhoven_20.60,Eindhoven_25.22
08-14,Rotterdam_16.65,Rotterdam_20.46,Rotterdam_24.27
08-14,Vlieland_16.76,Vlieland_20.42,Vlieland_24.08
08-15,Eindhoven_18.27,Eindhoven_20.44,Eindhoven_22.61
08-15,Rotterdam_17.51,Rotterdam_19.76,Rotterdam_22.01
08-15,Vlieland_17.21,Vlieland_19.60,Vlieland_21.99
08-16,Eindhoven_15.27,Eindhoven_19.62,Eindhoven_23.97
08-16,Rotterdam_16.07,Rotterdam_19.30,Rotterdam_22.53
08-16,Vlieland_15.87,Vlieland_18.72,Vlieland_21.57
08-17,Eindhoven_15.15,Eindhoven_18.14,Eindhoven_21.13
08-17,Rotterdam_16.05,Rotterdam_18.20,Rotterdam_20.35
08-17,Vlieland_16.58,Vlieland_18.14,Vlieland_19.70
08-18,Eindhoven_16.22,Eindhoven_18.82,Eindhoven_21.42
08-18,Rotterdam_16.57,Rotterdam_18.86,Rotterdam_21.15
08-18,Vlieland_17.52,Vlieland_18.42,Vlieland_19.32
08-19,Eindhoven_16.11,Eindhoven_19.48,Eindhoven_22.85
08-19,Rotterdam_16.43,Rotterdam_19.52,Rotterdam_22.61
08-19,Vlieland_16.54,Vlieland_19.02,Vlieland_21.50
08-20,Eindhoven_15.34,Eindhoven_19.70,Eindhoven_24.06
08-20,Rotterdam_15.92,Rotterdam_19.22,Rotterdam_22.52
08-20,Vlieland_16.34,Vlieland_18.92,Vlieland_21.50
08-21,Eindhoven_16.01,Eindhoven_19.72,Eindhoven_23.43
08-21,Rotterdam_16.50,Rotterdam_19.64,Rotterdam_22.78
08-21,Vlieland_17.13,Vlieland_19.08,Vlieland_21.03
08-22,Eindhoven_17.60,Eindhoven_19.08,Eindhoven_20.56
08-22,Rotterdam_16.94,Rotterdam_18.72,Rotterdam_20.50
08-22,Vlieland_17.40,Vlieland_18.46,Vlieland_19.52
08-23,Eindhoven_16.99,Eindhoven_19.40,Eindhoven_21.81
08-23,Rotterdam_17.46,Rotterdam_19.28,Rotterdam_21.10
08-23,Vlieland_17.23,Vlieland_18.92,Vlieland_20.61
08-24,Eindhoven_16.08,Eindhoven_20.16,Eindhoven_24.24
08-24,Rotterdam_16.78,Rotterdam_20.04,Rotterdam_23.30
08-24,Vlieland_15.80,Vlieland_18.86,Vlieland_21.92
08-25,Eindhoven_15.58,Eindhoven_20.34,Eindhoven_25.10
08-25,Rotterdam_16.11,Rotterdam_19.74,Rotterdam_23.37
08-25,Vlieland_15.31,Vlieland_18.98,Vlieland_22.65
08-26,Eindhoven_14.05,Eindhoven_18.60,Eindhoven_23.15
08-26,Rotterdam_14.57,Rotterdam_18.32,Rotterdam_22.07
08-26,Vlieland_15.14,Vlieland_18.26,Vlieland_21.38
08-27,Eindhoven_12.70,Eindhoven_18.12,Eindhoven_23.54
08-27,Rotterdam_13.06,Rotterdam_17.84,Rotterdam_22.62
08-27,Vlieland_13.99,Vlieland_18.14,Vlieland_22.29
08-28,Eindhoven_13.53,Eindhoven_17.70,Eindhoven_21.87
08-28,Rotterdam_14.85,Rotterdam_17.48,Rotterdam_20.11
08-28,Vlieland_15.53,Vlieland_17.88,Vlieland_20.23
08-29,Eindhoven_13.91,Eindhoven_16.08,Eindhoven_18.25
08-29,Rotterdam_15.02,Rotterdam_16.42,Rotterdam_17.82
08-29,Vlieland_16.18,Vlieland_17.16,Vlieland_18.14
08-30,Eindhoven_13.82,Eindhoven_16.70,Eindhoven_19.58
08-30,Rotterdam_14.76,Rotterdam_16.80,Rotterdam_18.84
08-30,Vlieland_15.45,Vlieland_17.12,Vlieland_18.79
08-31,Eindhoven_13.91,Eindhoven_17.28,Eindhoven_20.65
08-31,Rotterdam_14.33,Rotterdam_17.14,Rotterdam_19.95
08-31,Vlieland_14.71,Vlieland_17.14,Vlieland_19.57
09-01,Eindhoven_13.59,Eindhoven_16.70,Eindhoven_19.81
09-01,Rotterdam_14.16,Rotterdam_16.30,Rotterdam_18.44
09-01,Vlieland_14.78,Vlieland_16.32,Vlieland_17.86
09-02,Eindhoven_14.26,Eindhoven_17.40,Eindhoven_20.54
09-02,Rotterdam_14.31,Rotterdam_16.78,Rotterdam_19.25
09-02,Vlieland_14.43,Vlieland_16.48,Vlieland_18.53
09-03,Eindhoven_15.94,Eindhoven_18.20,Eindhoven_20.46
09-03,Rotterdam_15.94,Rotterdam_17.96,Rotterdam_19.98
09-03,Vlieland_14.47,Vlieland_16.80,Vlieland_19.13
09-04,Eindhoven_15.04,Eindhoven_17.96,Eindhoven_20.88
09-04,Rotterdam_14.87,Rotterdam_17.52,Rotterdam_20.17
09-04,Vlieland_15.64,Vlieland_17.54,Vlieland_19.44
09-05,Eindhoven_12.53,Eindhoven_18.08,Eindhoven_23.63
09-05,Rotterdam_12.90,Rotterdam_17.68,Rotterdam_22.46
09-05,Vlieland_14.03,Vlieland_17.62,Vlieland_21.21
09-06,Eindhoven_12.33,Eindhoven_17.72,Eindhoven_23.11
09-06,Rotterdam_13.68,Rotterdam_18.14,Rotterdam_22.60
09-06,Vlieland_14.01,Vlieland_17.72,Vlieland_21.43
09-07,Eindhoven_13.95,Eindhoven_18.42,Eindhoven_22.89
09-07,Rotterdam_14.12,Rotterdam_18.24,Rotterdam_22.36
09-07,Vlieland_15.02,Vlieland_18.40,Vlieland_21.78
09-08,Eindhoven_13.67,Eindhoven_18.32,Eindhoven_22.97
09-08,Rotterdam_13.75,Rotterdam_18.18,Rotterdam_22.61
09-08,Vlieland_14.90,Vlieland_18.04,Vlieland_21.18
09-09,Eindhoven_12.72,Eindhoven_17.82,Eindhoven_22.92
09-09,Rotterdam_13.19,Rotterdam_17.68,Rotterdam_22.17
09-09,Vlieland_14.28,Vlieland_17.36,Vlieland_20.44
09-10,Eindhoven_11.43,Eindhoven_17.46,Eindhoven_23.49
09-10,Rotterdam_12.19,Rotterdam_18.14,Rotterdam_24.09
09-10,Vlieland_14.51,Vlieland_18.22,Vlieland_21.93
09-11,Eindhoven_12.39,Eindhoven_16.76,Eindhoven_21.13
09-11,Rotterdam_14.53,Rotterdam_17.56,Rotterdam_20.59
09-11,Vlieland_15.18,Vlieland_17.76,Vlieland_20.34
09-12,Eindhoven_14.64,Eindhoven_17.52,Eindhoven_20.40
09-12,Rotterdam_15.87,Rotterdam_17.96,Rotterdam_20.05
09-12,Vlieland_16.23,Vlieland_17.84,Vlieland_19.45
09-13,Eindhoven_15.28,Eindhoven_17.18,Eindhoven_19.08
09-13,Rotterdam_15.51,Rotterdam_16.90,Rotterdam_18.29
09-13,Vlieland_14.75,Vlieland_16.32,Vlieland_17.89
09-14,Eindhoven_12.86,Eindhoven_16.46,Eindhoven_20.06
