date [mm-dd],city_lower,city_mean,city_upper
01-30,Eindhoven_1.41,Eindhoven_5.10,Eindhoven_8.79
01-30,Rotterdam_1.41,Rotterdam_5.17,Rotterdam_8.92
01-30,Vlieland_1.33,Vlieland_4.93,Vlieland_8.54
01-31,Eindhoven_-0.46,Eindhoven_4.55,Eindhoven_9.56
01-31,Rotterdam_-0.07,Rotterdam_4.85,Rotterdam_9.77
01-31,Vlieland_0.86,Vlieland_4.82,Vlieland_8.78
02-01,Eindhoven_2.47,Eindhoven_5.85,Eindhoven_9.23
02-01,Rotterdam_2.06,Rotterdam_5.90,Rotterdam_9.74
02-01,Vlieland_1.04,Vlieland_5.10,Vlieland_9.16
02-02,Eindhoven_4.12,Eindhoven_7.12,Eindhoven_10.11
02-02,Rotterdam_4.64,Rotterdam_7.18,Rotterdam_9.73
02-02,Vlieland_2.34,Vlieland_5.57,Vlieland_8.80
02-03,Eindhoven_4.66,Eindhoven_7.83,Eindhoven_11.01
02-03,Rotterdam_4.66,Rotterdam_7.80,Rotterdam_10.94
02-03,Vlieland_5.27,Vlieland_7.00,Vlieland_8.73
02-04,Eindhoven_3.29,Eindhoven_6.42,Eindhoven_9.55
02-04,Rotterdam_4.03,Rotterdam_6.78,Rotterdam_9.54
02-04,Vlieland_3.45,Vlieland_5.70,Vlieland_7.95
02-05,Eindhoven_3.89,Eindhoven_6.22,Eindhoven_8.54
02-05,Rotterdam_4.92,Rotterdam_6.72,Rotterdam_8.51
02-05,Vlieland_4.11,Vlieland_6.03,Vlieland_7.96
02-06,Eindhoven_2.05,Eindhoven_5.30,Eindhoven_8.55
02-06,Rotterdam_3.31,Rotterdam_6.03,Rotterdam_8.75
02-06,Vlieland_2.60,Vlieland_5.40,Vlieland_8.20
02-07,Eindhoven_-1.25,Eindhoven_3.10,Eindhoven_7.45
02-07,Rotterdam_-0.97,Rotterdam_3.52,Rotterdam_8.00
02-07,Vlieland_0.22,Vlieland_4.00,Vlieland_7.78
02-08,Eindhoven_-2.19,Eindhoven_4.00,Eindhoven_10.19
02-08,Rotterdam_-1.52,Rotterdam_4.32,Rotterdam_10.15
02-08,Vlieland_0.19,Vlieland_4.35,Vlieland_8.51
02-09,Eindhoven_-1.52,Eindhoven_5.65,Eindhoven_12.82
02-09,Rotterdam_-0.14,Rotterdam_6.02,Rotterdam_12.17
02-09,Vlieland_1.70,Vlieland_5.72,Vlieland_9.74
02-10,Eindhoven_-1.02,Eindhoven_5.05,Eindhoven_11.12
02-10,Rotterdam_0.25,Rotterdam_5.38,Rotterdam_10.51
02-10,Vlieland_0.93,Vlieland_5.18,Vlieland_9.44
02-11,Eindhoven_-1.14,Eindhoven_4.00,Eindhoven_9.14
02-11,Rotterdam_-0.91,Rotterdam_4.27,Rotterdam_9.44
02-11,Vlieland_0.56,Vlieland_4.77,Vlieland_8.97
02-12,Eindhoven_-1.74,Eindhoven_3.02,Eindhoven_7.77
02-12,Rotterdam_-1.03,Rotterdam_3.92,Rotterdam_8.87
02-12,Vlieland_0.36,Vlieland_4.50,Vlieland_8.64
02-13,Eindhoven_-0.53,Eindhoven_3.98,Eindhoven_8.50
02-13,Rotterdam_-0.00,Rotterdam_4.80,Rotterdam_9.60
02-13,Vlieland_0.37,Vlieland_4.62,Vlieland_8.86
02-14,Eindhoven_2.18,Eindhoven_6.32,Eindhoven_10.45
02-14,Rotterdam_2.18,Rotterdam_6.33,Rotterdam_10.48
02-14,Vlieland_1.73,Vlieland_5.52,Vlieland_9.31
02-15,Eindhoven_4.21,Eindhoven_7.87,Eindhoven_11.52
02-15,Rotterdam_4.17,Rotterdam_7.85,Rotterdam_11.53
02-15,Vlieland_3.46,Vlieland_6.70,Vlieland_9.94
02-16,Eindhoven_7.08,Eindhoven_9.67,Eindhoven_12.26
02-16,Rotterdam_7.50,Rotterdam_9.57,Rotterdam_11.63
02-16,Vlieland_5.74,Vlieland_7.77,Vlieland_9.79
02-17,Eindhoven_8.07,Eindhoven_9.53,Eindhoven_10.99
02-17,Rotterdam_8.26,Rotterdam_9.25,Rotterdam_10.24
02-17,Vlieland_6.89,Vlieland_7.63,Vlieland_8.37
02-18,Eindhoven_7.51,Eindhoven_8.80,Eindhoven_10.09
02-18,Rotterdam_7.80,Rotterdam_8.73,Rotterdam_9.67
02-18,Vlieland_6.06,Vlieland_7.35,Vlieland_8.64
02-19,Eindhoven_6.10,Eindhoven_7.22,Eindhoven_8.33
02-19,Rotterdam_6.32,Rotterdam_7.37,Rotterdam_8.41
02-19,Vlieland_5.38,Vlieland_6.47,Vlieland_7.55
02-20,Eindhoven_6.42,Eindhoven_8.50,Eindhoven_10.58
02-20,Rotterdam_7.01,Rotterdam_9.03,Rotterdam_11.06
02-20,Vlieland_6.95,Vlieland_7.60,Vlieland_8.25
02-21,Eindhoven_5.78,Eindhoven_8.33,Eindhoven_10.89
02-21,Rotterdam_6.90,Rotterdam_8.58,Rotterdam_10.26
02-21,Vlieland_6.74,Vlieland_7.50,Vlieland_8.26
02-22,Eindhoven_6.77,Eindhoven_9.10,Eindhoven_11.43
02-22,Rotterdam_7.00,Rotterdam_9.08,Rotterdam_11.17
02-22,Vlieland_7.13,Vlieland_7.95,Vlieland_8.77
02-23,Eindhoven_5.69,Eindhoven_8.57,Eindhoven_11.44
